artifact_id,family,latent_level_original,canonical_z,j_star,nontrivial,truth_curve,pair_complete,immediate_rows,rts_rows,immediate_fsr,immediate_tr,immediate_separation_gap,immediate_gap_class,immediate_min_passing_margin,immediate_max_failing_margin,immediate_argmin_passing_strictness,immediate_argmax_failing_strictness,immediate_correct_points,immediate_accuracy,immediate_direct_all_nine_correct,immediate_predicted_first_fail,immediate_tce,immediate_cut_enumeration_fsr,immediate_cut_enumeration_tr,immediate_cut_states_enumerated,immediate_cut_witness_state_index,rts_fsr,rts_tr,rts_separation_gap,rts_gap_class,rts_min_passing_margin,rts_max_failing_margin,rts_argmin_passing_strictness,rts_argmax_failing_strictness,rts_correct_points,rts_accuracy,rts_direct_all_nine_correct,rts_predicted_first_fail,rts_tce,rts_cut_enumeration_fsr,rts_cut_enumeration_tr,rts_cut_states_enumerated,rts_cut_witness_state_index,fsr_change,transition
D3T-A-L1-I00,coverage,1,1,2,1,110000000,True,9,9,1,1,0.125,recoverable,-21.125,-21.25,[0],[2],8,0.88888888888888884,0,0,2,1,1,10,7,1,1,11.687500528991222,recoverable,-9.2500002346932888,-20.937500763684511,[0],[4],8,0.88888888888888884,0,0,2,1,1,10,7,0,both_recoverable
D3T-A-L1-I01,coverage,1,1,2,1,110000000,True,9,9,1,1,4.75,recoverable,-21.125,-25.875,[0],[2],8,0.88888888888888884,0,0,2,1,1,9,6,0,0,-0.87500087451189756,strict_inversion,-22.375000183470547,-21.49999930895865,[0],[8],8,0.88888888888888884,0,0,2,0,0,10,,-1,lost_recoverability
D3T-A-L1-I02,coverage,1,1,2,1,110000000,True,9,9,1,1,1.75,recoverable,-26.125,-27.875,[0],[2],8,0.88888888888888884,0,0,2,1,1,10,7,1,1,2.4375004889443517,recoverable,-19.062500447034836,-21.500000935979187,[0],[6],8,0.88888888888888884,0,0,2,1,1,10,7,0,both_recoverable
D3T-A-L1-I03,coverage,1,1,2,1,110000000,True,9,9,1,1,1.25,recoverable,-22.75,-24,[0],[2],8,0.88888888888888884,0,0,2,1,1,9,6,1,1,0.93750082876067609,recoverable,-20.999999774619937,-21.937500603380613,[0],[2],8,0.88888888888888884,0,0,2,1,1,10,7,0,both_recoverable
D3T-A-L1-I04,coverage,1,1,2,1,110000000,True,9,9,1,1,4.875,recoverable,-23,-27.875,[0],[2],8,0.88888888888888884,0,0,2,1,1,10,7,0,1,-0.93749991105869412,strict_inversion,-22.062500264961272,-21.125000353902578,[0],[7],8,0.88888888888888884,0,0,2,0,1,10,,-1,lost_recoverability
D3T-A-L1-I05,coverage,1,1,2,1,110000000,True,9,9,1,1,15.875,recoverable,-12,-27.875,[0],"[2, 3]",8,0.88888888888888884,0,0,2,1,1,9,6,1,1,0.24999911431223154,recoverable,-21.437500104308128,-21.68749921862036,[0],[5],8,0.88888888888888884,0,0,2,1,1,10,7,0,both_recoverable
D3T-A-L1-I06,coverage,1,1,2,1,110000000,True,9,9,0,0,-4.375,strict_inversion,-25.75,-21.375,[0],[2],8,0.88888888888888884,0,0,2,0,0,9,,0,1,-0.99999991990625858,strict_inversion,-22.43749928381294,-21.437499363906682,[0],[3],8,0.88888888888888884,0,0,2,0,1,10,,0,neither_recoverable
D3T-A-L1-I07,coverage,1,1,2,1,110000000,True,9,9,1,1,1,recoverable,-26.375,-27.375,[0],[2],8,0.88888888888888884,0,0,2,1,1,10,7,0,0,-2.4374989347998053,strict_inversion,-24.437499306630343,-22.000000371830538,[0],[8],8,0.88888888888888884,0,0,2,0,0,10,,-1,lost_recoverability
D3T-A-L1-I08,coverage,1,1,2,1,110000000,True,9,9,0,0,-4.5,strict_inversion,-24.5,-20,[0],[2],8,0.88888888888888884,0,0,2,0,0,9,,1,1,0.43750037625432014,recoverable,-20.93749949708581,-21.37499987334013,[0],[7],8,0.88888888888888884,0,0,2,1,1,10,7,1,gained_recoverability
D3T-A-L1-I09,coverage,1,1,2,1,110000000,True,9,9,0,0,-8.125,strict_inversion,-27.5,-19.375,[0],[2],8,0.88888888888888884,0,0,2,0,0,9,,1,1,0.62499934155493975,recoverable,-21.187499723397195,-21.812499064952135,[0],[8],8,0.88888888888888884,0,0,2,1,1,10,7,1,gained_recoverability
D3T-A-L1-I10,coverage,1,1,2,1,110000000,True,9,9,1,1,12.75,recoverable,-14.25,-27,[0],[2],8,0.88888888888888884,0,0,2,1,1,10,7,0,1,-1.4999995920807123,strict_inversion,-22.624999145045877,-21.124999552965164,[0],[3],8,0.88888888888888884,0,0,2,0,1,10,,-1,lost_recoverability
D3T-A-L1-I11,coverage,1,1,2,1,110000000,True,9,9,1,1,2,recoverable,-25.125,-27.125,[0],[2],8,0.88888888888888884,0,0,2,1,1,9,6,1,1,0.062499648425728083,recoverable,-22.187500517815351,-22.25000016624108,[0],[8],8,0.88888888888888884,0,0,2,1,1,10,7,0,both_recoverable
D3T-A-L2-I00,coverage,2,2,3,1,111000000,True,9,9,0,0,-12.75,strict_inversion,-24.5,-11.75,[0],[3],8,0.88888888888888884,0,0,3,0,0,10,,0,1,-0.43750018253922462,strict_inversion,-21.499999795109034,-21.062499612569809,[0],[7],8,0.88888888888888884,0,0,3,0,1,10,,0,neither_recoverable
D3T-A-L2-I01,coverage,2,2,3,1,111000000,True,9,9,1,1,1.25,recoverable,-28,-29.25,[2],"[3, 8]",7,0.77777777777777779,0,0,3,1,1,8,4,1,1,0.12500144448131323,recoverable,-21.437499450519681,-21.562500895000994,[0],[8],8,0.88888888888888884,0,0,3,1,1,10,6,0,both_recoverable
D3T-A-L2-I02,coverage,2,2,3,1,111000000,True,9,9,1,1,1.5,recoverable,-25.625,-27.125,[0],[3],8,0.88888888888888884,0,0,3,1,1,10,6,0,0,-0.87499942921567708,strict_inversion,-22.249999857624061,-21.375000428408384,[0],[6],8,0.88888888888888884,0,0,3,0,0,10,,-1,lost_recoverability
D3T-A-L2-I03,coverage,2,2,3,1,111000000,True,9,9,0,0,-12,strict_inversion,-26,-14,[0],[3],8,0.88888888888888884,0,0,3,0,0,10,,1,1,36.99999975218816,recoverable,15.374999762432708,-21.624999989755452,[0],[3],9,1,1,3,0,1,1,10,6,1,gained_recoverability
D3T-A-L2-I04,coverage,2,2,3,1,111000000,True,9,9,0,0,-30.75,strict_inversion,-25.75,5,[0],[3],7,0.77777777777777779,0,0,3,0,0,10,,1,1,0.68750015832483768,recoverable,-20.500000590458512,-21.18750074878335,[0],[4],8,0.88888888888888884,0,0,3,1,1,10,6,1,gained_recoverability
D3T-A-L2-I05,coverage,2,2,3,1,111000000,True,9,9,1,1,1.125,recoverable,-25.125,-26.25,[0],[3],8,0.88888888888888884,0,0,3,1,1,10,6,0,1,-0.2499998826533556,strict_inversion,-21.687499552033842,-21.437499669380486,[0],[6],8,0.88888888888888884,0,0,3,0,1,10,,-1,lost_recoverability
D3T-A-L2-I06,coverage,2,2,3,1,111000000,True,9,9,1,1,1.375,recoverable,-25.5,-26.875,[0],"[3, 6]",7,0.77777777777777779,0,0,3,1,1,8,4,0,1,-0.4999995231628418,strict_inversion,-21.812500379048288,-21.312500855885446,[0],[8],8,0.88888888888888884,0,0,3,0,1,10,,-1,lost_recoverability
D3T-A-L2-I07,coverage,2,2,3,1,111000000,True,9,9,0,0,-12.5,strict_inversion,-24.75,-12.25,[0],[3],8,0.88888888888888884,0,0,3,0,0,10,,1,1,0.50000020599691197,recoverable,-21.187499559309799,-21.687499765306711,[0],[5],8,0.88888888888888884,0,0,3,1,1,10,6,1,gained_recoverability
D3T-A-L2-I08,coverage,2,2,3,1,111000000,True,9,9,0,0,-1.875,strict_inversion,-26.375,-24.5,[0],[3],7,0.77777777777777779,0,0,3,0,0,10,,1,1,0.18749964702874422,recoverable,-20.750000029802322,-20.937499676831067,[0],[8],8,0.88888888888888884,0,0,3,1,1,10,6,1,gained_recoverability
D3T-A-L2-I09,coverage,2,2,3,1,111000000,True,9,9,0,0,-29,strict_inversion,-26.25,2.75,[0],[3],7,0.77777777777777779,0,0,3,0,0,10,,1,1,1.1250010915100574,recoverable,-20.56249924749136,-21.687500339001417,[0],[6],8,0.88888888888888884,0,0,3,1,1,10,6,1,gained_recoverability
D3T-A-L2-I10,coverage,2,2,3,1,111000000,True,9,9,0,0,-9,strict_inversion,-26.875,-17.875,[0],[3],8,0.88888888888888884,0,0,3,0,0,9,,0,0,-0.8750014347024262,strict_inversion,-22.062500676140189,-21.187499241437763,[0],[7],8,0.88888888888888884,0,0,3,0,0,10,,0,neither_recoverable
D3T-A-L2-I11,coverage,2,2,3,1,111000000,True,9,9,0,0,-13.75,strict_inversion,-25,-11.25,[0],[3],8,0.88888888888888884,0,0,3,0,0,10,,0,1,-0.18750033713877201,strict_inversion,-21.499999508261681,-21.312499171122909,[0],[5],8,0.88888888888888884,0,0,3,0,1,10,,0,neither_recoverable
D3T-A-L3-I00,coverage,3,3,4,1,111100000,True,9,9,0,0,-5.625,strict_inversion,-25.75,-20.125,[0],[4],8,0.88888888888888884,0,0,4,0,0,9,,1,1,0.56249971315264702,recoverable,-20.687500239349902,-21.249999952502549,[0],[7],8,0.88888888888888884,0,0,4,1,1,10,5,1,gained_recoverability
D3T-A-L3-I01,coverage,3,3,4,1,111100000,True,9,9,0,0,-9.75,strict_inversion,-27,-17.25,[0],[4],8,0.88888888888888884,0,0,4,0,0,9,,1,1,0.12499997415579855,recoverable,-20.624999761581421,-20.749999735737219,[0],[6],8,0.88888888888888884,0,0,4,1,1,10,5,1,gained_recoverability
D3T-A-L3-I02,coverage,3,3,4,1,111100000,True,9,9,0,0,-49.125,strict_inversion,-28.625,20.5,[0],[4],7,0.77777777777777779,0,0,4,0,0,10,,0,0,-1.1249992065131664,strict_inversion,-22.437499860301614,-21.312500653788447,[0],[8],8,0.88888888888888884,0,0,4,0,0,10,,0,neither_recoverable
D3T-A-L3-I03,coverage,3,3,4,1,111100000,True,9,9,1,1,2.875,recoverable,-24,-26.875,[0],[4],7,0.77777777777777779,0,0,4,1,1,10,5,0,1,-1.3125008968636394,strict_inversion,-22.687500200234354,-21.374999303370714,[0],[6],8,0.88888888888888884,0,0,4,0,1,10,,-1,lost_recoverability
D3T-A-L3-I04,coverage,3,3,4,1,111100000,True,9,9,0,0,-3.5,strict_inversion,-24.625,-21.125,[0],[4],8,0.88888888888888884,0,0,4,0,0,10,,0,0,-1.2500015115365386,strict_inversion,-23.000000746455044,-21.749999234918505,[0],[4],8,0.88888888888888884,0,0,4,0,0,10,,0,neither_recoverable
D3T-A-L3-I05,coverage,3,3,4,1,111100000,True,9,9,1,1,1.75,recoverable,-26.875,-28.625,[0],"[5, 6]",6,0.66666666666666663,0,0,4,1,1,8,3,1,1,0.87499925540760159,recoverable,-19.87500090803951,-20.750000163447112,[0],[4],8,0.88888888888888884,0,0,4,1,1,10,5,0,both_recoverable
D3T-A-L3-I06,coverage,3,3,4,1,111100000,True,9,9,1,1,0.125,recoverable,-25.625,-25.75,[0],[4],7,0.77777777777777779,0,0,4,1,1,10,5,1,1,1.4999994398094714,recoverable,-19.500000447966158,-20.99999988777563,[0],[7],8,0.88888888888888884,0,0,4,1,1,10,5,0,both_recoverable
D3T-A-L3-I07,coverage,3,3,4,1,111100000,True,9,9,1,1,5.75,recoverable,-20.5,-26.25,[3],[4],7,0.77777777777777779,0,0,4,1,1,10,5,1,1,0.31250009220093489,recoverable,-21.249999588355422,-21.562499680556357,[0],[8],8,0.88888888888888884,0,0,4,1,1,10,5,0,both_recoverable
D3T-A-L3-I08,coverage,3,3,4,1,111100000,True,9,9,0,0,-7.875,strict_inversion,-25.25,-17.375,[0],[4],8,0.88888888888888884,0,0,4,0,0,10,,1,1,0.062500869855284691,recoverable,-21.187499552965164,-21.250000422820449,[0],[5],8,0.88888888888888884,0,0,4,1,1,10,5,1,gained_recoverability
D3T-A-L3-I09,coverage,3,3,4,1,111100000,True,9,9,0,0,-7,strict_inversion,-26,-19,[0],[4],8,0.88888888888888884,0,0,4,0,0,10,,1,1,36.812499642372131,recoverable,14.999999535735697,-21.812500106636435,[0],[8],9,1,1,4,0,1,1,10,5,1,gained_recoverability
D3T-A-L3-I10,coverage,3,3,4,1,111100000,True,9,9,0,0,-35.375,strict_inversion,-28.125,7.25,[0],[4],7,0.77777777777777779,0,0,4,0,0,10,,0,1,-0.1249998789280653,strict_inversion,-20.999999931082129,-20.875000052154064,[0],[8],8,0.88888888888888884,0,0,4,0,1,10,,0,neither_recoverable
D3T-A-L3-I11,coverage,3,3,4,1,111100000,True,9,9,0,0,-21.125,strict_inversion,-26.125,-5,[0],[4],8,0.88888888888888884,0,0,4,0,0,10,,0,0,-0.62500040512531996,strict_inversion,-21.874999850988388,-21.249999445863068,[0],[8],8,0.88888888888888884,0,0,4,0,0,10,,0,neither_recoverable
D3T-A-L4-I00,coverage,4,4,5,1,111110000,True,9,9,0,0,-13.125,strict_inversion,-26.625,-13.5,[0],[5],8,0.88888888888888884,0,0,5,0,0,10,,1,1,0.68749992083758116,recoverable,-20.687499418854713,-21.374999339692295,[0],[7],8,0.88888888888888884,0,0,5,1,1,10,4,1,gained_recoverability
D3T-A-L4-I01,coverage,4,4,5,1,111110000,True,9,9,0,0,-34.625,strict_inversion,-26.125,8.5,[0],[5],7,0.77777777777777779,0,0,5,0,0,10,,0,0,-38.437501450767741,strict_inversion,-21.18750082841143,17.25000062235631,[0],[5],7,0.77777777777777779,0,0,5,0,0,10,,0,neither_recoverable
D3T-A-L4-I02,coverage,4,4,5,1,111110000,True,9,9,1,1,0.25,recoverable,-25.875,-26.125,[0],[5],6,0.66666666666666663,0,0,5,1,1,10,4,0,0,-1.6249995799735188,strict_inversion,-22.56250033993274,-20.937500759959221,[0],[5],8,0.88888888888888884,0,0,5,0,0,10,,-1,lost_recoverability
D3T-A-L4-I03,coverage,4,4,5,1,111110000,True,9,9,1,1,5.875,recoverable,-19.875,-25.75,[0],[5],7,0.77777777777777779,0,0,5,1,1,10,4,1,1,1.9999994859099388,recoverable,-19.312499973922968,-21.312499459832907,[0],[7],8,0.88888888888888884,0,0,5,1,1,10,4,0,both_recoverable
D3T-A-L4-I04,coverage,4,4,5,1,111110000,True,9,9,0,0,-5.5,strict_inversion,-27.25,-21.75,[0],[5],7,0.77777777777777779,0,0,5,0,0,10,,1,1,0.12500010430812836,recoverable,-21.125000538304448,-21.250000642612576,[0],[6],8,0.88888888888888884,0,0,5,1,1,10,4,1,gained_recoverability
D3T-A-L4-I05,coverage,4,4,5,1,111110000,True,9,9,1,1,2.625,recoverable,-22.5,-25.125,[0],[5],6,0.66666666666666663,0,0,5,1,1,9,3,0,1,-0.12499913107603788,strict_inversion,-21.1874995585531,-21.062500427477062,[0],[8],8,0.88888888888888884,0,0,5,0,1,10,,-1,lost_recoverability
D3T-A-L4-I06,coverage,4,4,5,1,111110000,True,9,9,0,0,-0.5,strict_inversion,-25.375,-24.875,[0],[5],7,0.77777777777777779,0,0,5,0,0,10,,0,1,-0.12500055227428675,strict_inversion,-20.875000693835318,-20.750000141561031,[0],[7],8,0.88888888888888884,0,0,5,0,1,10,,0,neither_recoverable
D3T-A-L4-I07,coverage,4,4,5,1,111110000,True,9,9,0,0,-1.625,strict_inversion,-24.125,-22.5,[0],[5],7,0.77777777777777779,0,0,5,0,0,10,,0,0,-1.8124997224658728,strict_inversion,-23.18749928753823,-21.374999565072358,[0],[5],8,0.88888888888888884,0,0,5,0,0,10,,0,neither_recoverable
D3T-A-L4-I08,coverage,4,4,5,1,111110000,True,9,9,0,0,-2.5,strict_inversion,-24.125,-21.625,[0],[5],7,0.77777777777777779,0,0,5,0,0,10,,1,1,1.1250003697350621,recoverable,-19.37499937042594,-20.499999740161002,[0],[7],8,0.88888888888888884,0,0,5,1,1,10,4,1,gained_recoverability
D3T-A-L4-I09,coverage,4,4,5,1,111110000,True,9,9,0,0,-5.5,strict_inversion,-24.75,-19.25,[0],[5],7,0.77777777777777779,0,0,5,0,0,9,,1,1,38.750000043772161,recoverable,18.250000653788447,-20.499999389983714,[0],[7],9,1,1,5,0,1,1,10,4,1,gained_recoverability
D3T-A-L4-I10,coverage,4,4,5,1,111110000,True,9,9,0,0,-17.625,strict_inversion,-26.375,-8.75,[0],[5],8,0.88888888888888884,0,0,5,0,0,10,,1,1,31.437500569969416,recoverable,10.250000383704901,-21.187500186264515,[0],[8],9,1,1,5,0,1,1,10,4,1,gained_recoverability
D3T-A-L4-I11,coverage,4,4,5,1,111110000,True,9,9,0,0,-15.375,strict_inversion,-27.375,-12,[0],[5],8,0.88888888888888884,0,0,5,0,0,10,,0,0,-0.74999966309405863,strict_inversion,-21.749999192077667,-20.999999528983608,[0],[5],8,0.88888888888888884,0,0,5,0,0,10,,0,neither_recoverable
D3T-A-L5-I00,coverage,5,5,6,1,111111000,True,9,9,0,0,-15.125,strict_inversion,-27.875,-12.75,[0],[6],8,0.88888888888888884,0,0,6,0,0,10,,1,1,0.18750016042031348,recoverable,-20.999999325722456,-21.187499486142769,[0],[7],7,0.77777777777777779,0,0,6,1,1,10,3,1,gained_recoverability
D3T-A-L5-I01,coverage,5,5,6,1,111111000,True,9,9,0,0,-15.875,strict_inversion,-25.625,-9.75,[0],[7],8,0.88888888888888884,0,0,6,0,0,10,,0,1,-8.2072801887989044e-07,strict_inversion,-20.937500858679414,-20.937500037951395,[0],[8],8,0.88888888888888884,0,0,6,0,1,10,,0,neither_recoverable
D3T-A-L5-I02,coverage,5,5,6,1,111111000,True,9,9,0,0,-13,strict_inversion,-26,-13,[0],[6],8,0.88888888888888884,0,0,6,0,0,10,,1,1,0.74999893270432949,recoverable,-20.312500754371285,-21.062499687075615,[0],[6],8,0.88888888888888884,0,0,6,1,1,10,3,1,gained_recoverability
D3T-A-L5-I03,coverage,5,5,6,1,111111000,True,9,9,0,0,-18.375,strict_inversion,-27.375,-9,[0],[6],8,0.88888888888888884,0,0,6,0,0,10,,0,1,-0.31249953946098685,strict_inversion,-20.812499647960067,-20.50000010849908,[0],[7],8,0.88888888888888884,0,0,6,0,1,10,,0,neither_recoverable
D3T-A-L5-I04,coverage,5,5,6,1,111111000,True,9,9,0,0,-15.625,strict_inversion,-27.125,-11.5,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,0,0,-41.749999885912985,strict_inversion,-21.375000183470547,20.374999702442437,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,0,neither_recoverable
D3T-A-L5-I05,coverage,5,5,6,1,111111000,True,9,9,0,0,-8.375,strict_inversion,-28.25,-19.875,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,0,0,-2.562501244712621,strict_inversion,-23.062500641681254,-20.499999396968633,[0],[7],8,0.88888888888888884,0,0,6,0,0,10,,0,neither_recoverable
D3T-A-L5-I06,coverage,5,5,6,1,111111000,True,9,9,0,0,-18.125,strict_inversion,-25.375,-7.25,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,0,1,-0.062501351349055767,strict_inversion,-20.62500056438148,-20.562499213032424,[0],[8],8,0.88888888888888884,0,0,6,0,1,10,,0,neither_recoverable
D3T-A-L5-I07,coverage,5,5,6,1,111111000,True,9,9,0,0,-7.75,strict_inversion,-27.375,-19.625,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,1,1,1.1874996480182745,recoverable,-20.437500575557351,-21.625000223575626,[0],[7],8,0.88888888888888884,0,0,6,1,1,10,3,1,gained_recoverability
D3T-A-L5-I08,coverage,5,5,6,1,111111000,True,9,9,0,0,-22.25,strict_inversion,-28,-5.75,[0],[6],8,0.88888888888888884,0,0,6,0,0,10,,0,0,-1.6874991580843925,strict_inversion,-22.562499519437551,-20.875000361353159,[0],[7],8,0.88888888888888884,0,0,6,0,0,10,,0,neither_recoverable
D3T-A-L5-I09,coverage,5,5,6,1,111111000,True,9,9,0,0,-3.375,strict_inversion,-27.625,-24.25,[0],[6],6,0.66666666666666663,0,0,6,0,0,10,,0,0,-42.00000087893568,strict_inversion,-21.625000673811883,20.375000205123797,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,0,neither_recoverable
D3T-A-L5-I10,coverage,5,5,6,1,111111000,True,9,9,1,1,0.625,recoverable,-19,-19.625,[0],[6],7,0.77777777777777779,0,0,6,1,1,10,3,0,0,-41.375000745523721,strict_inversion,-21.125000317580998,20.250000427942723,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,-1,lost_recoverability
D3T-A-L5-I11,coverage,5,5,6,1,111111000,True,9,9,0,0,-10.375,strict_inversion,-25.75,-15.375,[0],[6],7,0.77777777777777779,0,0,6,0,0,10,,1,1,0.99999973434023559,recoverable,-20.937500102445483,-21.937499836785719,[0],[7],8,0.88888888888888884,0,0,6,1,1,10,3,1,gained_recoverability
D3T-A-L6-I00,coverage,6,6,7,1,111111100,True,9,9,0,0,-9.75,strict_inversion,-26.875,-17.125,[0],[7],8,0.88888888888888884,0,0,7,0,0,10,,0,0,-0.31249873549677432,strict_inversion,-21.624999249354005,-21.312500513857231,[0],[8],8,0.88888888888888884,0,0,7,0,0,10,,0,neither_recoverable
D3T-A-L6-I01,coverage,6,6,7,1,111111100,True,9,9,0,0,-7.25,strict_inversion,-26.125,-18.875,[0],[8],7,0.77777777777777779,0,0,7,0,0,10,,1,1,2.1250005951151252,recoverable,-19.187499259598553,-21.312499854713678,[0],[7],8,0.88888888888888884,0,0,7,1,1,10,2,1,gained_recoverability
D3T-A-L6-I02,coverage,6,6,7,1,111111100,True,9,9,0,0,-42.75,strict_inversion,-27.875,14.875,[0],[8],6,0.66666666666666663,0,0,7,0,0,10,,1,1,1.4999994055833668,recoverable,-20.250000486150384,-21.749999891733751,[0],[7],8,0.88888888888888884,0,0,7,1,1,10,2,1,gained_recoverability
D3T-A-L6-I03,coverage,6,6,7,1,111111100,True,9,9,0,0,-40.875,strict_inversion,-26.375,14.5,[0],[7],6,0.66666666666666663,0,0,7,0,0,10,,0,0,-2.0624986852053553,strict_inversion,-22.499999339692295,-20.437500654486939,[0],[8],8,0.88888888888888884,0,0,7,0,0,10,,0,neither_recoverable
D3T-A-L6-I04,coverage,6,6,7,1,111111100,True,9,9,0,0,-18.75,strict_inversion,-25.5,-6.75,[0],[8],6,0.66666666666666663,0,0,7,0,0,10,,1,1,0.43750029872171581,recoverable,-21.562500640749931,-22.000000939471647,[0],[8],8,0.88888888888888884,0,0,7,1,1,10,2,1,gained_recoverability
D3T-A-L6-I05,coverage,6,6,7,1,111111100,True,9,9,0,0,-15.75,strict_inversion,-26.75,-11,[0],[7],7,0.77777777777777779,0,0,7,0,0,10,,0,0,-0.24999910453334451,strict_inversion,-20.124999184161425,-19.87500007962808,[0],[7],8,0.88888888888888884,0,0,7,0,0,10,,0,neither_recoverable
D3T-A-L6-I06,coverage,6,6,7,1,111111100,True,9,9,0,0,-20.5,strict_inversion,-27,-6.5,[0],[7],7,0.77777777777777779,0,0,7,0,0,9,,1,1,3.0624998454004526,recoverable,-18.437499232590199,-21.499999077990651,[0],[7],8,0.88888888888888884,0,0,7,1,1,10,2,1,gained_recoverability
D3T-A-L6-I07,coverage,6,6,7,1,111111100,True,9,9,0,0,-30.875,strict_inversion,-25.875,5,[0],[7],7,0.77777777777777779,0,0,7,0,0,10,,0,0,-0.74999910313636065,strict_inversion,-21.562499502208084,-20.812500399071723,[0],[7],8,0.88888888888888884,0,0,7,0,0,10,,0,neither_recoverable
