artifact_id,family,latent_level,strictness_index,formal_truth,immediate_margin,immediate_margin_hex,rts_margin,rts_margin_hex
D3T-A-L0-I03,coverage,0,3,0,-30.25,-0x1.e400000000000p+4,-22.124999286141247,-0x1.61ffff4060000p+4
D3T-A-L0-I03,coverage,0,4,0,-29.875,-0x1.de00000000000p+4,-21.812499066349119,-0x1.5cffff0560000p+4
D3T-A-L0-I03,coverage,0,5,0,-30.625,-0x1.ea00000000000p+4,-22.750000450527295,-0x1.6c000078f0000p+4
D3T-A-L0-I03,coverage,0,6,0,-30.25,-0x1.e400000000000p+4,-23.000000494881533,-0x1.70000084d8000p+4
D3T-A-L0-I03,coverage,0,7,0,-30.75,-0x1.ec00000000000p+4,-22.187499098014086,-0x1.62ffff0de0000p+4
D3T-A-L0-I03,coverage,0,8,0,-30.625,-0x1.ea00000000000p+4,-22.812500091735274,-0x1.6d000018a0000p+4
D3T-A-L0-I04,coverage,0,0,1,30.125,0x1.e200000000000p+4,21.999999472172931,0x1.5fffff7250000p+4
D3T-A-L0-I04,coverage,0,1,0,-29.75,-0x1.dc00000000000p+4,-21.999999378807843,-0x1.5fffff5940000p+4
D3T-A-L0-I04,coverage,0,2,0,-31,-0x1.f000000000000p+4,-22.499999750871211,-0x1.67ffffbd20000p+4
D3T-A-L0-I04,coverage,0,3,0,-30.625,-0x1.ea00000000000p+4,-22.187500303145498,-0x1.6300005160000p+4
D3T-A-L0-I04,coverage,0,4,0,-30.625,-0x1.ea00000000000p+4,-22.312500884989277,-0x1.650000ed90000p+4
D3T-A-L0-I04,coverage,0,5,0,-31,-0x1.f000000000000p+4,-21.374999196268618,-0x1.55ffff2840000p+4
D3T-A-L0-I04,coverage,0,6,0,-30.5,-0x1.e800000000000p+4,-21.999999908264726,-0x1.5fffffe760000p+4
D3T-A-L0-I04,coverage,0,7,0,-30.5,-0x1.e800000000000p+4,-22.312499732943252,-0x1.64ffffb850000p+4
D3T-A-L0-I04,coverage,0,8,0,-30.625,-0x1.ea00000000000p+4,-21.874999753199518,-0x1.5dffffbdc0000p+4
D3T-A-L0-I05,coverage,0,0,1,28.25,0x1.c400000000000p+4,22.499999228864908,0x1.67ffff3100000p+4
D3T-A-L0-I05,coverage,0,1,0,-30.125,-0x1.e200000000000p+4,-22.687499102496076,-0x1.6affff0f14000p+4
D3T-A-L0-I05,coverage,0,2,0,-30,-0x1.e000000000000p+4,-22.812500044121407,-0x1.6d00000bd8000p+4
D3T-A-L0-I05,coverage,0,3,0,-29.75,-0x1.dc00000000000p+4,-22.687499109422788,-0x1.6affff10f0000p+4
D3T-A-L0-I05,coverage,0,4,0,-29.375,-0x1.d600000000000p+4,-22.312500656116754,-0x1.650000b020000p+4
D3T-A-L0-I05,coverage,0,5,0,-30.125,-0x1.e200000000000p+4,-22.187500762403943,-0x1.630000cca8000p+4
D3T-A-L0-I05,coverage,0,6,0,-29.625,-0x1.da00000000000p+4,-22.624999435385689,-0x1.69ffff6870000p+4
D3T-A-L0-I05,coverage,0,7,0,-30.5,-0x1.e800000000000p+4,-23.624999151332304,-0x1.79ffff1c30000p+4
D3T-A-L0-I05,coverage,0,8,0,-28.875,-0x1.ce00000000000p+4,-22.249999998835847,-0x1.63ffffffb0000p+4
D3T-A-L0-I06,coverage,0,0,1,27.875,0x1.be00000000000p+4,18.999999810475856,0x1.2fffffcd20000p+4
D3T-A-L0-I06,coverage,0,1,0,-30.125,-0x1.e200000000000p+4,-23.75000091973925,-0x1.7c0000f6e4000p+4
D3T-A-L0-I06,coverage,0,2,0,-28.625,-0x1.ca00000000000p+4,-24.000000810832717,-0x1.800000d9a8000p+4
D3T-A-L0-I06,coverage,0,3,0,-28.125,-0x1.c200000000000p+4,-22.12499963818118,-0x1.61ffff9ee0000p+4
D3T-A-L0-I06,coverage,0,4,0,-27.625,-0x1.ba00000000000p+4,-22.812500888248906,-0x1.6d0000ee70000p+4
D3T-A-L0-I06,coverage,0,5,0,-28.25,-0x1.c400000000000p+4,-22.437499358085915,-0x1.66ffff53b0000p+4
D3T-A-L0-I06,coverage,0,6,0,-27.75,-0x1.bc00000000000p+4,-21.875000263564289,-0x1.5e000046c0000p+4
D3T-A-L0-I06,coverage,0,7,0,-28.5,-0x1.c800000000000p+4,-22.687499813036993,-0x1.6affffcdd0000p+4
D3T-A-L0-I06,coverage,0,8,0,-28.375,-0x1.c600000000000p+4,-22.312500103842467,-0x1.6500001be0000p+4
D3T-A-L0-I07,coverage,0,0,1,28.375,0x1.c600000000000p+4,22.249999828636646,0x1.63ffffd200000p+4
D3T-A-L0-I07,coverage,0,1,0,-30.375,-0x1.e600000000000p+4,-22.749999420950189,-0x1.6bffff6490000p+4
D3T-A-L0-I07,coverage,0,2,0,-30.125,-0x1.e200000000000p+4,-21.874999769032001,-0x1.5dffffc200000p+4
D3T-A-L0-I07,coverage,0,3,0,-30.25,-0x1.e400000000000p+4,-21.499999715015292,-0x1.57ffffb380000p+4
D3T-A-L0-I07,coverage,0,4,0,-30,-0x1.e000000000000p+4,-22.49999964190647,-0x1.67ffff9fe0000p+4
D3T-A-L0-I07,coverage,0,5,0,-30.875,-0x1.ee00000000000p+4,-22.562500194530003,-0x1.6900003438000p+4
D3T-A-L0-I07,coverage,0,6,0,-30.625,-0x1.ea00000000000p+4,-22.12499957322143,-0x1.61ffff8d70000p+4
D3T-A-L0-I07,coverage,0,7,0,-30.625,-0x1.ea00000000000p+4,-22.000000950647518,-0x1.600000ff30000p+4
D3T-A-L0-I07,coverage,0,8,0,-30.25,-0x1.e400000000000p+4,-22.24999920418486,-0x1.63ffff2a60000p+4
D3T-A-L0-I08,coverage,0,0,1,28.25,0x1.c400000000000p+4,20.500000941567123,0x1.480000fcc0000p+4
D3T-A-L0-I08,coverage,0,1,0,-31.125,-0x1.f200000000000p+4,-23.125000652158633,-0x1.720000af10000p+4
D3T-A-L0-I08,coverage,0,2,0,-30.25,-0x1.e400000000000p+4,-22.375000078696758,-0x1.6600001520000p+4
D3T-A-L0-I08,coverage,0,3,0,-30.375,-0x1.e600000000000p+4,-22.687499184627086,-0x1.6affff2520000p+4
D3T-A-L0-I08,coverage,0,4,0,-30.25,-0x1.e400000000000p+4,-22.750000568572432,-0x1.6c000098a0000p+4
D3T-A-L0-I08,coverage,0,5,0,-31,-0x1.f000000000000p+4,-22.499999459832907,-0x1.67ffff6f00000p+4
D3T-A-L0-I08,coverage,0,6,0,-29.875,-0x1.de00000000000p+4,-22.750000638654456,-0x1.6c0000ab70000p+4
D3T-A-L0-I08,coverage,0,7,0,-30.25,-0x1.e400000000000p+4,-22.937500410946086,-0x1.6f00006e50000p+4
D3T-A-L0-I08,coverage,0,8,0,-29.625,-0x1.da00000000000p+4,-22.812499094288796,-0x1.6cffff0ce0000p+4
D3T-A-L0-I09,coverage,0,0,1,27.875,0x1.be00000000000p+4,20.500000635394827,0x1.480000aa90000p+4
D3T-A-L0-I09,coverage,0,1,0,-29.5,-0x1.d800000000000p+4,-24.249999521300197,-0x1.83ffff7f80000p+4
D3T-A-L0-I09,coverage,0,2,0,-29.25,-0x1.d400000000000p+4,-23.624999575666152,-0x1.79ffff8e18000p+4
D3T-A-L0-I09,coverage,0,3,0,-29.25,-0x1.d400000000000p+4,-22.687500916887075,-0x1.6b0000f620000p+4
D3T-A-L0-I09,coverage,0,4,0,-29.125,-0x1.d200000000000p+4,-22.812499337596819,-0x1.6cffff4e30000p+4
D3T-A-L0-I09,coverage,0,5,0,-29.625,-0x1.da00000000000p+4,-22.12499968893826,-0x1.61ffffac80000p+4
D3T-A-L0-I09,coverage,0,6,0,-29.25,-0x1.d400000000000p+4,-22.56249927636236,-0x1.68ffff3dc0000p+4
D3T-A-L0-I09,coverage,0,7,0,-30.25,-0x1.e400000000000p+4,-22.687500580912456,-0x1.6b00009bf0000p+4
D3T-A-L0-I09,coverage,0,8,0,-29.875,-0x1.de00000000000p+4,-22.68749962747097,-0x1.6affff9c00000p+4
D3T-A-L0-I10,coverage,0,0,1,29.125,0x1.d200000000000p+4,22.500000381143764,0x1.6800006650000p+4
D3T-A-L0-I10,coverage,0,1,0,-30.875,-0x1.ee00000000000p+4,-22.187499837484211,-0x1.62ffffd460000p+4
D3T-A-L0-I10,coverage,0,2,0,-30.75,-0x1.ec00000000000p+4,-22.624999258667231,-0x1.69ffff3900000p+4
D3T-A-L0-I10,coverage,0,3,0,-30.625,-0x1.ea00000000000p+4,-21.812500938307494,-0x1.5d0000fbe0000p+4
D3T-A-L0-I10,coverage,0,4,0,-30.375,-0x1.e600000000000p+4,-22.812499348539859,-0x1.6cffff5120000p+4
D3T-A-L0-I10,coverage,0,5,0,-31.5,-0x1.f800000000000p+4,-22.56250005075708,-0x1.6900000da0000p+4
D3T-A-L0-I10,coverage,0,6,0,-30.5,-0x1.e800000000000p+4,-22.812500586267561,-0x1.6d00009d60000p+4
D3T-A-L0-I10,coverage,0,7,0,-30.875,-0x1.ee00000000000p+4,-21.999999329214916,-0x1.5fffff4bf0000p+4
D3T-A-L0-I10,coverage,0,8,0,-30.125,-0x1.e200000000000p+4,-22.687500848202035,-0x1.6b0000e3b0000p+4
D3T-A-L0-I11,coverage,0,0,1,28.5,0x1.c800000000000p+4,19.874999338760972,0x1.3dffff4e80000p+4
D3T-A-L0-I11,coverage,0,1,0,-30.625,-0x1.ea00000000000p+4,-22.874999514315277,-0x1.6dffff7da0000p+4
D3T-A-L0-I11,coverage,0,2,0,-31.125,-0x1.f200000000000p+4,-23.375000363914296,-0x1.76000061b0000p+4
D3T-A-L0-I11,coverage,0,3,0,-30.75,-0x1.ec00000000000p+4,-22.125000649597496,-0x1.620000ae60000p+4
D3T-A-L0-I11,coverage,0,4,0,-30.125,-0x1.e200000000000p+4,-22.312500779516995,-0x1.650000d140000p+4
D3T-A-L0-I11,coverage,0,5,0,-31,-0x1.f000000000000p+4,-23.37500019161962,-0x1.7600003370000p+4
D3T-A-L0-I11,coverage,0,6,0,-30.25,-0x1.e400000000000p+4,-21.937499917112291,-0x1.5effffe9c0000p+4
D3T-A-L0-I11,coverage,0,7,0,-30.875,-0x1.ee00000000000p+4,-22.499999076593667,-0x1.67ffff0820000p+4
D3T-A-L0-I11,coverage,0,8,0,-30.75,-0x1.ec00000000000p+4,-22.312500733649358,-0x1.650000c4f0000p+4
D3T-A-L1-I00,coverage,1,0,1,-21.125,-0x1.5200000000000p+4,-9.2500002346932888,-0x1.2800007e00000p+3
D3T-A-L1-I00,coverage,1,1,1,31.75,0x1.fc00000000000p+4,23.562499604769982,0x1.78ffff95e8000p+4
D3T-A-L1-I00,coverage,1,2,0,-21.25,-0x1.5400000000000p+4,-22.125000179046765,-0x1.6200003010000p+4
D3T-A-L1-I00,coverage,1,3,0,-27.25,-0x1.b400000000000p+4,-22.499999563908204,-0x1.67ffff8af0000p+4
D3T-A-L1-I00,coverage,1,4,0,-27.5,-0x1.b800000000000p+4,-20.937500763684511,-0x1.4f0000cd00000p+4
D3T-A-L1-I00,coverage,1,5,0,-27.125,-0x1.b200000000000p+4,-22.375000450992957,-0x1.6600007910000p+4
D3T-A-L1-I00,coverage,1,6,0,-26.875,-0x1.ae00000000000p+4,-22.312500733416528,-0x1.650000c4e0000p+4
D3T-A-L1-I00,coverage,1,7,0,-27.625,-0x1.ba00000000000p+4,-22.187500194180757,-0x1.6300003420000p+4
D3T-A-L1-I00,coverage,1,8,0,-27.875,-0x1.be00000000000p+4,-22.250000941567123,-0x1.640000fcc0000p+4
D3T-A-L1-I01,coverage,1,0,1,-21.125,-0x1.5200000000000p+4,-22.375000183470547,-0x1.6600003140000p+4
D3T-A-L1-I01,coverage,1,1,1,33.625,0x1.0d00000000000p+5,24.062499986379407,0x1.80fffffc58000p+4
D3T-A-L1-I01,coverage,1,2,0,-25.875,-0x1.9e00000000000p+4,-22.18749984074384,-0x1.62ffffd540000p+4
D3T-A-L1-I01,coverage,1,3,0,-27.375,-0x1.b600000000000p+4,-22.687500486848876,-0x1.6b000082b0000p+4
D3T-A-L1-I01,coverage,1,4,0,-28.875,-0x1.ce00000000000p+4,-23.125000846805051,-0x1.720000e350000p+4
D3T-A-L1-I01,coverage,1,5,0,-29.875,-0x1.de00000000000p+4,-22.999999283347279,-0x1.6fffff3fa0000p+4
D3T-A-L1-I01,coverage,1,6,0,-30,-0x1.e000000000000p+4,-21.999999846331775,-0x1.5fffffd6c0000p+4
D3T-A-L1-I01,coverage,1,7,0,-30.375,-0x1.e600000000000p+4,-22.687499339692295,-0x1.6affff4ec0000p+4
D3T-A-L1-I01,coverage,1,8,0,-30.375,-0x1.e600000000000p+4,-21.49999930895865,-0x1.57ffff4680000p+4
D3T-A-L1-I02,coverage,1,0,1,-26.125,-0x1.a200000000000p+4,-19.062500447034836,-0x1.3100007800000p+4
D3T-A-L1-I02,coverage,1,1,1,32.125,0x1.0100000000000p+5,22.375000548665412,0x1.6600009348000p+4
D3T-A-L1-I02,coverage,1,2,0,-27.875,-0x1.be00000000000p+4,-23.000000363914296,-0x1.70000061b0000p+4
D3T-A-L1-I02,coverage,1,3,0,-28.125,-0x1.c200000000000p+4,-21.874999076128006,-0x1.5dffff0800000p+4
D3T-A-L1-I02,coverage,1,4,0,-29.125,-0x1.d200000000000p+4,-22.24999970337376,-0x1.63ffffb060000p+4
D3T-A-L1-I02,coverage,1,5,0,-29.75,-0x1.dc00000000000p+4,-22.812500805361196,-0x1.6d0000d830000p+4
D3T-A-L1-I02,coverage,1,6,0,-29.25,-0x1.d400000000000p+4,-21.500000935979187,-0x1.580000fb40000p+4
D3T-A-L1-I02,coverage,1,7,0,-29.375,-0x1.d600000000000p+4,-22.625000816071406,-0x1.6a0000db10000p+4
D3T-A-L1-I02,coverage,1,8,0,-29,-0x1.d000000000000p+4,-21.937499244697392,-0x1.5effff3540000p+4
D3T-A-L1-I03,coverage,1,0,1,-22.75,-0x1.6c00000000000p+4,-20.999999774619937,-0x1.4fffffc380000p+4
D3T-A-L1-I03,coverage,1,1,1,32.875,0x1.0700000000000p+5,25.000000493950211,0x1.9000008498000p+4
D3T-A-L1-I03,coverage,1,2,0,-24,-0x1.8000000000000p+4,-21.937500603380613,-0x1.5f0000a1f8000p+4
D3T-A-L1-I03,coverage,1,3,0,-28.125,-0x1.c200000000000p+4,-22.312500158324838,-0x1.6500002a80000p+4
D3T-A-L1-I03,coverage,1,4,0,-29.125,-0x1.d200000000000p+4,-22.687499255756848,-0x1.6affff3838000p+4
D3T-A-L1-I03,coverage,1,5,0,-29.75,-0x1.dc00000000000p+4,-22.374999174382538,-0x1.65ffff2260000p+4
D3T-A-L1-I03,coverage,1,6,0,-30,-0x1.e000000000000p+4,-22.562500704545528,-0x1.690000bd20000p+4
D3T-A-L1-I03,coverage,1,7,0,-29.75,-0x1.dc00000000000p+4,-22.312500866828486,-0x1.650000e8b0000p+4
D3T-A-L1-I03,coverage,1,8,0,-29.625,-0x1.da00000000000p+4,-22.125000865664333,-0x1.620000e860000p+4
D3T-A-L1-I04,coverage,1,0,1,-23,-0x1.7000000000000p+4,-22.062500264961272,-0x1.6100004720000p+4
D3T-A-L1-I04,coverage,1,1,1,33.625,0x1.0d00000000000p+5,22.374999699764885,0x1.65ffffaf68000p+4
D3T-A-L1-I04,coverage,1,2,0,-27.875,-0x1.be00000000000p+4,-23.062500529689714,-0x1.7100008e30000p+4
D3T-A-L1-I04,coverage,1,3,0,-29.125,-0x1.d200000000000p+4,-21.812499877531081,-0x1.5cffffdf20000p+4
D3T-A-L1-I04,coverage,1,4,0,-29.875,-0x1.de00000000000p+4,-23.24999988230411,-0x1.73ffffe068000p+4
D3T-A-L1-I04,coverage,1,5,0,-30,-0x1.e000000000000p+4,-21.374999168328941,-0x1.55ffff20c0000p+4
D3T-A-L1-I04,coverage,1,6,0,-29.625,-0x1.da00000000000p+4,-21.874999225372449,-0x1.5dffff3010000p+4
D3T-A-L1-I04,coverage,1,7,0,-29.5,-0x1.d800000000000p+4,-21.125000353902578,-0x1.5200005f00000p+4
D3T-A-L1-I04,coverage,1,8,0,-28.875,-0x1.ce00000000000p+4,-21.499999226769432,-0x1.57ffff3070000p+4
D3T-A-L1-I05,coverage,1,0,1,-12,-0x1.8000000000000p+3,-21.437500104308128,-0x1.5700001c00000p+4
D3T-A-L1-I05,coverage,1,1,1,27.375,0x1.b600000000000p+4,22.812500074389391,0x1.6d000013f8000p+4
D3T-A-L1-I05,coverage,1,2,0,-27.875,-0x1.be00000000000p+4,-22.312499389052391,-0x1.64ffff5c00000p+4
D3T-A-L1-I05,coverage,1,3,0,-27.875,-0x1.be00000000000p+4,-22.812499329273123,-0x1.6cffff4bf4000p+4
D3T-A-L1-I05,coverage,1,4,0,-28.375,-0x1.c600000000000p+4,-22.625000054016709,-0x1.6a00000e80000p+4
D3T-A-L1-I05,coverage,1,5,0,-28.5,-0x1.c800000000000p+4,-21.68749921862036,-0x1.5affff2e40000p+4
D3T-A-L1-I05,coverage,1,6,0,-28.875,-0x1.ce00000000000p+4,-21.750000131316483,-0x1.5c00002340000p+4
D3T-A-L1-I05,coverage,1,7,0,-28.625,-0x1.ca00000000000p+4,-22.437500417698175,-0x1.6700007020000p+4
D3T-A-L1-I05,coverage,1,8,0,-29,-0x1.d000000000000p+4,-21.937500226777047,-0x1.5f00003ce0000p+4
D3T-A-L1-I06,coverage,1,0,1,-25.75,-0x1.9c00000000000p+4,-22.43749928381294,-0x1.66ffff3fc0000p+4
D3T-A-L1-I06,coverage,1,1,1,32.875,0x1.0700000000000p+5,21.687500786967576,0x1.5b0000d340000p+4
D3T-A-L1-I06,coverage,1,2,0,-21.375,-0x1.5600000000000p+4,-22.87500088638626,-0x1.6e0000edf0000p+4
D3T-A-L1-I06,coverage,1,3,0,-27,-0x1.b000000000000p+4,-21.437499363906682,-0x1.56ffff5540000p+4
D3T-A-L1-I06,coverage,1,4,0,-27.5,-0x1.b800000000000p+4,-22.437499337596819,-0x1.66ffff4e30000p+4
D3T-A-L1-I06,coverage,1,5,0,-28.25,-0x1.c400000000000p+4,-22.187500617466867,-0x1.630000a5c0000p+4
D3T-A-L1-I06,coverage,1,6,0,-28.875,-0x1.ce00000000000p+4,-22.62500069104135,-0x1.6a0000b980000p+4
D3T-A-L1-I06,coverage,1,7,0,-29.375,-0x1.d600000000000p+4,-22.625000269617885,-0x1.6a00004860000p+4
D3T-A-L1-I06,coverage,1,8,0,-28.875,-0x1.ce00000000000p+4,-22.500000022584572,-0x1.6800000610000p+4
D3T-A-L1-I07,coverage,1,0,1,-26.375,-0x1.a600000000000p+4,-24.437499306630343,-0x1.86ffff45e0000p+4
D3T-A-L1-I07,coverage,1,1,1,34.875,0x1.1700000000000p+5,25.062499823339749,0x1.90ffffd094000p+4
D3T-A-L1-I07,coverage,1,2,0,-27.375,-0x1.b600000000000p+4,-23.249999770894647,-0x1.73ffffc280000p+4
D3T-A-L1-I07,coverage,1,3,0,-28.75,-0x1.cc00000000000p+4,-22.812500348081812,-0x1.6d00005d70000p+4
D3T-A-L1-I07,coverage,1,4,0,-28.875,-0x1.ce00000000000p+4,-23.874999690102413,-0x1.7dffffacd0000p+4
D3T-A-L1-I07,coverage,1,5,0,-29.875,-0x1.de00000000000p+4,-22.625000016996637,-0x1.6a00000490000p+4
D3T-A-L1-I07,coverage,1,6,0,-30,-0x1.e000000000000p+4,-24.312500004307367,-0x1.8500000128000p+4
D3T-A-L1-I07,coverage,1,7,0,-30.25,-0x1.e400000000000p+4,-22.312499996973202,-0x1.64ffffff30000p+4
D3T-A-L1-I07,coverage,1,8,0,-30.375,-0x1.e600000000000p+4,-22.000000371830538,-0x1.60000063d0000p+4
D3T-A-L1-I08,coverage,1,0,1,-24.5,-0x1.8800000000000p+4,-20.93749949708581,-0x1.4effff7900000p+4
D3T-A-L1-I08,coverage,1,1,1,32.875,0x1.0700000000000p+5,21.874999569728971,0x1.5dffff8c80000p+4
D3T-A-L1-I08,coverage,1,2,0,-20,-0x1.4000000000000p+4,-22.437500463798642,-0x1.6700007c80000p+4
D3T-A-L1-I08,coverage,1,3,0,-27,-0x1.b000000000000p+4,-22.000000052619725,-0x1.6000000e20000p+4
D3T-A-L1-I08,coverage,1,4,0,-28.25,-0x1.c400000000000p+4,-22.437499369261786,-0x1.66ffff56b0000p+4
D3T-A-L1-I08,coverage,1,5,0,-29,-0x1.d000000000000p+4,-21.812500732019544,-0x1.5d0000c480000p+4
D3T-A-L1-I08,coverage,1,6,0,-28.75,-0x1.cc00000000000p+4,-22.312499818624929,-0x1.64ffffcf50000p+4
D3T-A-L1-I08,coverage,1,7,0,-28.875,-0x1.ce00000000000p+4,-21.37499987334013,-0x1.55ffffde00000p+4
D3T-A-L1-I08,coverage,1,8,0,-28.75,-0x1.cc00000000000p+4,-22.437499908730388,-0x1.66ffffe780000p+4
D3T-A-L1-I09,coverage,1,0,1,-27.5,-0x1.b800000000000p+4,-21.187499723397195,-0x1.52ffffb5c0000p+4
D3T-A-L1-I09,coverage,1,1,1,35.375,0x1.1b00000000000p+5,22.874999588355422,0x1.6dffff9180000p+4
D3T-A-L1-I09,coverage,1,2,0,-19.375,-0x1.3600000000000p+4,-22.500000628875569,-0x1.680000a8d0000p+4
D3T-A-L1-I09,coverage,1,3,0,-28,-0x1.c000000000000p+4,-22.500000089639798,-0x1.6800001810000p+4
D3T-A-L1-I09,coverage,1,4,0,-29.75,-0x1.dc00000000000p+4,-22.062500523403287,-0x1.6100008c80000p+4
D3T-A-L1-I09,coverage,1,5,0,-30.125,-0x1.e200000000000p+4,-22.250000411644578,-0x1.6400006e80000p+4
D3T-A-L1-I09,coverage,1,6,0,-29.75,-0x1.dc00000000000p+4,-22.749999510589987,-0x1.6bffff7ca0000p+4
D3T-A-L1-I09,coverage,1,7,0,-29.625,-0x1.da00000000000p+4,-22.062500236555934,-0x1.6100003f80000p+4
D3T-A-L1-I09,coverage,1,8,0,-29.5,-0x1.d800000000000p+4,-21.812499064952135,-0x1.5cffff0500000p+4
D3T-A-L1-I10,coverage,1,0,1,-14.25,-0x1.c800000000000p+3,-22.624999145045877,-0x1.69ffff1a80000p+4
D3T-A-L1-I10,coverage,1,1,1,32.5,0x1.0400000000000p+5,21.749999895691872,0x1.5bffffe400000p+4
D3T-A-L1-I10,coverage,1,2,0,-27,-0x1.b000000000000p+4,-23.25000088789966,-0x1.740000ee58000p+4
D3T-A-L1-I10,coverage,1,3,0,-28.875,-0x1.ce00000000000p+4,-21.124999552965164,-0x1.51ffff8800000p+4
D3T-A-L1-I10,coverage,1,4,0,-29,-0x1.d000000000000p+4,-22.312500923871994,-0x1.650000f800000p+4
D3T-A-L1-I10,coverage,1,5,0,-29.75,-0x1.dc00000000000p+4,-22.874999439576641,-0x1.6dffff6990000p+4
D3T-A-L1-I10,coverage,1,6,0,-29.625,-0x1.da00000000000p+4,-21.374999240040779,-0x1.55ffff3400000p+4
D3T-A-L1-I10,coverage,1,7,0,-30.125,-0x1.e200000000000p+4,-22.125000754836947,-0x1.620000caa0000p+4
D3T-A-L1-I10,coverage,1,8,0,-30.375,-0x1.e600000000000p+4,-22.249999796040356,-0x1.63ffffc940000p+4
D3T-A-L1-I11,coverage,1,0,1,-25.125,-0x1.9200000000000p+4,-22.187500517815351,-0x1.6300008b00000p+4
D3T-A-L1-I11,coverage,1,1,1,33,0x1.0800000000000p+5,22.312500653788447,0x1.650000af80000p+4
D3T-A-L1-I11,coverage,1,2,0,-27.125,-0x1.b200000000000p+4,-23.124999159481376,-0x1.71ffff1e60000p+4
D3T-A-L1-I11,coverage,1,3,0,-28.25,-0x1.c400000000000p+4,-23.062500745756552,-0x1.710000c830000p+4
D3T-A-L1-I11,coverage,1,4,0,-29,-0x1.d000000000000p+4,-22.562499995576218,-0x1.68fffffed0000p+4
