condition,protocol,task_id,z,k,truth,status,margin,score_met,score_not_met,score_path,trace_path
explicit_bare,rts,HumanEval/107,0,0,1,ok,20.91796875,-32.375,-53.29296875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k0.json
explicit_bare,rts,HumanEval/107,0,1,0,ok,-17.59375,-48.59375,-31.0,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k1.json
explicit_bare,rts,HumanEval/107,0,2,0,ok,-16.875,-49.0,-32.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k2.json
explicit_bare,rts,HumanEval/107,0,3,0,ok,-13.59375,-44.09375,-30.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k3.json
explicit_bare,rts,HumanEval/107,0,4,0,ok,-15.9375,-46.8125,-30.875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k4.json
explicit_bare,rts,HumanEval/107,0,5,0,ok,-17.875,-49.125,-31.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k5.json
explicit_bare,rts,HumanEval/107,0,6,0,ok,-18.0,-49.5,-31.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k6.json
explicit_bare,rts,HumanEval/107,0,7,0,ok,-14.9375,-45.9375,-31.0,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k7.json
explicit_bare,rts,HumanEval/107,0,8,0,ok,-18.65625,-50.03125,-31.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_107__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_107__k8.json
explicit_bare,rts,HumanEval/108,0,0,1,ok,22.673583984375,-34.625,-57.298583984375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k0.json
explicit_bare,rts,HumanEval/108,0,1,0,ok,23.796875,-33.5,-57.296875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k1.json
explicit_bare,rts,HumanEval/108,0,2,0,ok,23.0078125,-33.25,-56.2578125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k2.json
explicit_bare,rts,HumanEval/108,0,3,0,ok,26.53125,-34.0,-60.53125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k3.json
explicit_bare,rts,HumanEval/108,0,4,0,ok,23.9375,-33.75,-57.6875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k4.json
explicit_bare,rts,HumanEval/108,0,5,0,ok,25.578125,-33.375,-58.953125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k5.json
explicit_bare,rts,HumanEval/108,0,6,0,ok,24.8125,-33.5,-58.3125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k6.json
explicit_bare,rts,HumanEval/108,0,7,0,ok,23.890625,-33.125,-57.015625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k7.json
explicit_bare,rts,HumanEval/108,0,8,0,ok,26.46875,-33.375,-59.84375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_108__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_108__k8.json
explicit_bare,rts,HumanEval/109,0,0,1,ok,20.21875,-31.875,-52.09375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k0.json
explicit_bare,rts,HumanEval/109,0,1,0,ok,-19.6875,-50.4375,-30.75,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k1.json
explicit_bare,rts,HumanEval/109,0,2,0,ok,-19.5625,-50.0625,-30.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k2.json
explicit_bare,rts,HumanEval/109,0,3,0,ok,-20.0,-50.5,-30.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k3.json
explicit_bare,rts,HumanEval/109,0,4,0,ok,-19.359375,-49.859375,-30.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k4.json
explicit_bare,rts,HumanEval/109,0,5,0,ok,-19.015625,-49.515625,-30.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k5.json
explicit_bare,rts,HumanEval/109,0,6,0,ok,-18.6875,-49.0625,-30.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k6.json
explicit_bare,rts,HumanEval/109,0,7,0,ok,-17.4375,-48.4375,-31.0,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k7.json
explicit_bare,rts,HumanEval/109,0,8,0,ok,-20.46875,-51.71875,-31.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_109__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_109__k8.json
explicit_bare,rts,HumanEval/112,0,0,1,ok,15.625,-31.0,-46.625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k0.json
explicit_bare,rts,HumanEval/112,0,1,0,ok,-16.53125,-45.65625,-29.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k1.json
explicit_bare,rts,HumanEval/112,0,2,0,ok,-17.203125,-47.328125,-30.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k2.json
explicit_bare,rts,HumanEval/112,0,3,0,ok,-17.90625,-49.40625,-31.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k3.json
explicit_bare,rts,HumanEval/112,0,4,0,ok,-19.203125,-50.078125,-30.875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k4.json
explicit_bare,rts,HumanEval/112,0,5,0,ok,-21.328125,-53.578125,-32.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k5.json
explicit_bare,rts,HumanEval/112,0,6,0,ok,-18.90625,-48.90625,-30.0,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k6.json
explicit_bare,rts,HumanEval/112,0,7,0,ok,16.09375,-31.0,-47.09375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k7.json
explicit_bare,rts,HumanEval/112,0,8,0,ok,-18.65625,-49.78125,-31.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_112__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_112__k8.json
explicit_bare,rts,HumanEval/115,2,0,1,ok,18.65625,-32.125,-50.78125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k0.json
explicit_bare,rts,HumanEval/115,2,1,1,ok,-19.90625,-50.53125,-30.625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k1.json
explicit_bare,rts,HumanEval/115,2,2,1,ok,14.15625,-30.0,-44.15625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k2.json
explicit_bare,rts,HumanEval/115,2,3,0,ok,-19.65625,-50.40625,-30.75,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k3.json
explicit_bare,rts,HumanEval/115,2,4,0,ok,-15.9375,-46.3125,-30.375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k4.json
explicit_bare,rts,HumanEval/115,2,5,0,ok,-15.4375,-47.6875,-32.25,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k5.json
explicit_bare,rts,HumanEval/115,2,6,0,ok,-15.90625,-48.03125,-32.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k6.json
explicit_bare,rts,HumanEval/115,2,7,0,ok,-17.671875,-48.296875,-30.625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k7.json
explicit_bare,rts,HumanEval/115,2,8,0,ok,-20.703125,-52.328125,-31.625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_115__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_115__k8.json
explicit_bare,rts,HumanEval/116,8,0,1,ok,21.4891357421875,-33.25,-54.7391357421875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k0.json
explicit_bare,rts,HumanEval/116,8,1,1,ok,23.984375,-33.125,-57.109375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k1.json
explicit_bare,rts,HumanEval/116,8,2,1,ok,23.421875,-33.125,-56.546875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k2.json
explicit_bare,rts,HumanEval/116,8,3,1,ok,21.09375,-32.5,-53.59375,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k3.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k3.json
explicit_bare,rts,HumanEval/116,8,4,1,ok,21.53125,-33.0,-54.53125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k4.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k4.json
explicit_bare,rts,HumanEval/116,8,5,1,ok,22.515625,-33.375,-55.890625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k5.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k5.json
explicit_bare,rts,HumanEval/116,8,6,1,ok,23.0546875,-33.375,-56.4296875,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k6.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k6.json
explicit_bare,rts,HumanEval/116,8,7,1,ok,23.453125,-32.75,-56.203125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k7.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k7.json
explicit_bare,rts,HumanEval/116,8,8,1,ok,23.390625,-32.625,-56.015625,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_116__k8.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_116__k8.json
explicit_bare,rts,HumanEval/118,0,0,1,ok,20.3828125,-32.125,-52.5078125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_118__k0.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_118__k0.json
explicit_bare,rts,HumanEval/118,0,1,0,ok,-19.96875,-51.09375,-31.125,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_118__k1.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_118__k1.json
explicit_bare,rts,HumanEval/118,0,2,0,ok,-19.125,-50.625,-31.5,inputs/artifacts/code_protocol_followup_v2/data/scored/A/main/explicit/HumanEval_118__k2.json,inputs/artifacts/code_protocol_followup_v2/traces/A/main/explicit/HumanEval_118__k2.json
